longitude,latitude,start_date,end_date,label,id,index
-55.0489538107073,-11.874120392307,2000-09-29,2001-07-28,Forest,145,10
-55.0489538107073,-11.874120392307,2001-11-01,2002-07-12,Forest,146,10
-55.0489538107073,-11.874120392307,2002-08-13,2003-05-25,Forest,147,10
-55.0489538107073,-11.874120392307,2003-11-01,2004-07-11,Single_cropping,148,10
-55.0489538107073,-11.874120392307,2004-11-16,2005-07-12,Pasture,149,10
-55.0489538107073,-11.874120392307,2005-09-14,2006-06-10,Pasture,150,10
-55.0489538107073,-11.874120392307,2006-10-16,2007-07-28,Double_cropping,151,10
-55.0489538107073,-11.874120392307,2007-08-29,2008-07-11,Double_cropping,152,10
-55.0489538107073,-11.874120392307,2008-08-28,2009-07-28,Double_cropping,153,10
-55.0489538107073,-11.874120392307,2009-09-30,2010-08-29,Double_cropping,154,10
-55.0489538107073,-11.874120392307,2010-10-16,2011-07-28,Double_cropping,155,10
-55.0489538107073,-11.874120392307,2011-09-14,2012-07-27,Double_cropping,156,10
-55.0489538107073,-11.874120392307,2012-09-29,2013-07-28,Double_cropping,157,10
-55.0489538107073,-11.874120392307,2013-09-30,2014-08-13,Double_cropping,158,10
-55.0489538107073,-11.874120392307,2014-09-14,2015-08-29,Double_cropping,159,10
-55.0489538107073,-11.874120392307,2015-08-29,2016-06-25,Double_cropping,160,10
-55.0506157866405,-11.8928703923053,2000-09-29,2001-07-28,Forest,161,11
-55.0506157866405,-11.8928703923053,2001-10-16,2002-07-12,Forest,162,11
-55.0506157866405,-11.8928703923053,2002-08-29,2003-07-28,Forest,163,11
-55.0506157866405,-11.8928703923053,2003-09-14,2004-06-25,Forest,164,11
-55.0506157866405,-11.8928703923053,2004-09-29,2005-05-25,Forest,165,11
-55.0506157866405,-11.8928703923053,2005-11-17,2006-07-28,Single_cropping,166,11
-55.0506157866405,-11.8928703923053,2006-10-16,2007-07-28,Single_cropping,167,11
-55.0506157866405,-11.8928703923053,2007-10-16,2008-06-25,Single_cropping,168,11
-55.0506157866405,-11.8928703923053,2008-11-16,2009-08-13,Double_cropping,169,11
-55.0506157866405,-11.8928703923053,2009-09-30,2010-07-12,Pasture,170,11
-55.0506157866405,-11.8928703923053,2010-10-16,2011-07-28,Double_cropping,171,11
-55.0506157866405,-11.8928703923053,2011-08-29,2012-07-27,Double_cropping,172,11
-55.0506157866405,-11.8928703923053,2012-09-29,2013-09-14,Double_cropping,173,11
-55.0506157866405,-11.8928703923053,2013-09-30,2014-08-29,Double_cropping,174,11
-55.0506157866405,-11.8928703923053,2014-09-30,2015-07-12,Pasture,175,11
-55.0506157866405,-11.8928703923053,2015-09-30,2016-06-25,Pasture,176,11
-55.0501942627029,-11.8907870589722,2000-09-29,2001-08-13,Forest,177,12
-55.0501942627029,-11.8907870589722,2001-10-16,2002-07-12,Forest,178,12
-55.0501942627029,-11.8907870589722,2002-08-29,2003-06-26,Forest,179,12
-55.0501942627029,-11.8907870589722,2003-09-14,2004-06-25,Forest,180,12
-55.0501942627029,-11.8907870589722,2004-09-29,2005-05-25,Forest,181,12
-55.0501942627029,-11.8907870589722,2005-09-14,2006-06-26,Pasture,182,12
-55.0501942627029,-11.8907870589722,2006-09-30,2007-07-12,Single_cropping,183,12
-55.0501942627029,-11.8907870589722,2007-10-16,2008-07-11,Single_cropping,184,12
-55.0501942627029,-11.8907870589722,2008-11-16,2009-08-29,Double_cropping,185,12
-55.0501942627029,-11.8907870589722,2009-09-30,2010-06-26,Pasture,186,12
-55.0501942627029,-11.8907870589722,2010-10-16,2011-07-12,Double_cropping,187,12
-55.0501942627029,-11.8907870589722,2011-08-29,2012-07-11,Double_cropping,188,12
-55.0501942627029,-11.8907870589722,2012-10-15,2013-08-13,Double_cropping,189,12
-55.0501942627029,-11.8907870589722,2013-09-30,2014-07-12,Double_cropping,190,12
-55.0501942627029,-11.8907870589722,2014-09-30,2015-06-26,Pasture,191,12
-55.0501942627029,-11.8907870589722,2015-08-29,2016-08-28,Double_cropping,192,12
-55.0497728180026,-11.888703725639,2000-09-29,2001-08-13,Forest,193,13
-55.0497728180026,-11.888703725639,2001-11-01,2002-07-12,Forest,194,13
-55.0497728180026,-11.888703725639,2002-08-29,2003-06-26,Forest,195,13
-55.0497728180026,-11.888703725639,2003-11-17,2004-07-11,Forest,196,13
-55.0497728180026,-11.888703725639,2004-08-28,2005-08-13,Pasture,197,13
-55.0497728180026,-11.888703725639,2005-09-14,2006-06-26,Pasture,198,13
-55.0497728180026,-11.888703725639,2006-09-30,2007-07-28,Pasture,199,13
-55.0497728180026,-11.888703725639,2007-10-16,2008-06-25,Pasture,200,13
-55.0497728180026,-11.888703725639,2008-10-31,2009-07-28,Double_cropping,201,13
-55.0497728180026,-11.888703725639,2009-08-13,2010-06-26,Double_cropping,202,13
-55.0497728180026,-11.888703725639,2010-09-30,2011-07-28,Double_cropping,203,13
-55.0497728180026,-11.888703725639,2011-08-29,2012-07-11,Double_cropping,204,13
-55.0497728180026,-11.888703725639,2012-10-15,2013-08-13,Double_cropping,205,13
-55.0497728180026,-11.888703725639,2013-09-30,2014-08-29,Double_cropping,206,13
-55.0497728180026,-11.888703725639,2014-09-30,2015-06-26,Pasture,207,13
-55.0497728180026,-11.888703725639,2015-09-14,2016-06-25,Pasture,208,13
-55.0493514525367,-11.8866203923059,2000-09-29,2001-08-13,Forest,209,14
-55.0493514525367,-11.8866203923059,2001-11-01,2002-07-28,Forest,210,14
-55.0493514525367,-11.8866203923059,2002-08-29,2003-06-10,Forest,211,14
-55.0493514525367,-11.8866203923059,2003-08-29,2004-07-11,Pasture,212,14
-55.0493514525367,-11.8866203923059,2004-10-15,2005-06-26,Pasture,213,14
-55.0493514525367,-11.8866203923059,2005-09-14,2006-06-26,Pasture,214,14
-55.0493514525367,-11.8866203923059,2006-11-01,2007-07-12,Pasture,215,14
-55.0493514525367,-11.8866203923059,2007-11-17,2008-07-11,Pasture,216,14
-55.0493514525367,-11.8866203923059,2008-10-31,2009-07-12,Double_cropping,217,14
-55.0493514525367,-11.8866203923059,2009-08-29,2010-07-12,Double_cropping,218,14
-55.0493514525367,-11.8866203923059,2010-09-30,2011-07-12,Double_cropping,219,14
-55.0493514525367,-11.8866203923059,2011-08-29,2012-07-11,Double_cropping,220,14
-55.0493514525367,-11.8866203923059,2012-10-15,2013-08-13,Double_cropping,221,14
-55.0493514525367,-11.8866203923059,2013-09-30,2014-07-12,Double_cropping,222,14
